promediohora,alcaldia,cabildo,hospital,juan23,juancojo,mangarriba,paraiso,portachuelo,sanandres,sandiego,sanesteban,sos,totumo,fecha,hora,promedio_zonas,anomaly
7.05,10.2,6.7,7.0,13.5,1.3,3.1,8.6,6.7,7.1,8.2,3.3,10,8.4,2021-10-04,00:01:00,7.2250000000000005,False
6.055,7.0,8.3,5.5,15.6,0.7,3.1,4.3,4.9,7.1,5.3,3.3,17,7.6,2021-10-04,01:01:00,6.839642857142857,False
6.466,13.1,4.9,6.6,18.3,0.8,3.1,4.2,4.7,7.1,4.1,3.3,15,12.5,2021-10-04,02:01:00,7.440428571428571,False
6.045,5.3,4.4,12.5,16.8,1.2,2.4,4.0,7.2,7.1,2.9,3.3,18,5.4,2021-10-04,03:01:00,6.89607142857143,False
6.866,10.4,4.8,15.4,19.5,1.6,3.7,4.7,5.5,7.1,3.9,3.3,19,6.3,2021-10-04,04:01:00,8.004714285714286,False
7.51,20.0,6.3,7.0,21.4,1.7,3.7,5.4,11.4,7.1,5.1,3.3,11,5.8,2021-10-04,05:01:00,8.336428571428572,False
11.16,17.1,9.8,13.8,22.3,9.5,7.3,12.8,8.4,7.1,11.0,3.3,19,12.5,2021-10-04,06:01:00,11.790000000000001,False
16.48,21.1,17.8,13.8,32.0,7.9,15.0,17.3,19.6,7.1,16.3,3.3,27,26.7,2021-10-04,07:01:00,17.24142857142857,False
14.16,17.1,10.6,14.1,32.5,14.2,21.4,15.0,19.7,7.1,9.3,3.3,15,11.4,2021-10-04,08:01:00,14.632857142857144,False
10.11,12.2,11.4,11.1,8.5,6.3,16.0,11.4,10.8,7.1,9.3,3.3,12,13.4,2021-10-04,09:01:00,10.207857142857142,False
5.538,9.2,4.8,6.1,6.2,5.9,6.6,4.1,5.0,7.1,7.8,3.3,6,5.2,2021-10-04,10:01:00,5.917000000000001,False
4.708,6.8,2.7,4.9,6.6,3.4,4.9,2.5,3.1,7.1,3.3,11.4,4,3.1,2021-10-04,11:01:00,4.89342857142857,False
3.451,3.9,2.9,3.4,5.8,1.0,3.7,2.2,2.2,7.1,3.4,5.9,4,1.8,2021-10-04,12:01:00,3.625071428571428,False
3.71,4.7,3.3,2.7,6.4,2.4,3.8,3.2,2.4,7.1,3.4,4.1,4,3.1,2021-10-04,13:01:00,3.8792857142857144,False
3.721,4.7,2.5,3.1,4.1,1.4,3.7,2.8,2.6,7.1,2.2,8.7,3,2.1,2021-10-04,14:01:00,3.6943571428571427,False
5.115,5.7,3.0,4.5,13.2,2.3,5.2,3.1,3.1,7.1,3.4,12.3,4,2.7,2021-10-04,15:01:00,5.336785714285715,False
3.975,4.6,3.4,3.3,4.8,2.8,4.6,2.8,2.8,7.1,2.9,7.2,4,2.9,2021-10-04,16:01:00,4.083928571428571,False
4.395,7.7,3.3,4.6,4.8,3.0,5.0,4.0,3.5,7.1,2.9,4.1,5,4.5,2021-10-04,17:01:00,4.563928571428572,False
5.333,6.6,5.2,4.5,5.9,5.0,7.1,4.5,4.0,6.1,6.2,6.9,6,3.3,2021-10-04,18:01:00,5.473785714285715,False
12.2,12.4,6.9,10.0,23.6,9.5,12.2,19.7,7.6,8.9,6.9,6.9,10,15.8,2021-10-04,19:01:00,11.614285714285716,False
14.6,14.1,10.5,8.5,13.7,8.8,10.9,39.5,5.7,6.7,5.1,6.9,7,7.2,2021-10-04,20:01:00,11.37142857142857,False
10.29,9.1,12.7,9.2,9.0,10.1,12.4,16.5,8.2,5.7,6.8,6.9,8,7.8,2021-10-04,21:01:00,9.477857142857145,False
13.14,6.8,51.8,5.0,5.3,10.5,13.9,19.9,8.9,5.9,9.1,6.9,4,6.6,2021-10-04,22:01:00,11.981428571428571,False
18.76,17.4,40.2,17.1,11.1,16.3,9.6,37.9,7.7,4.2,15.3,6.9,20,11.2,2021-10-04,23:01:00,16.69,False
17.38,16.3,30.9,14.6,13.7,14.9,17.2,29.4,10.5,10.6,13.6,6.9,13,15.9,2021-10-05,00:01:00,16.062857142857144,False
22.74,38.2,37.9,19.0,13.9,12.8,14.1,39.7,21.3,12.3,12.5,6.9,28,16.2,2021-10-05,01:01:00,21.110000000000003,False
28.01,20.6,54.3,17.8,16.3,10.0,10.9,59.9,21.7,11.6,37.6,6.9,17,19.7,2021-10-05,02:01:00,23.73642857142857,False
28.74,31.6,39.8,29.1,16.6,18.6,20.1,52.5,28.0,6.8,38.5,6.9,18,26.2,2021-10-05,03:01:00,25.81714285714285,True
31.52,21.4,47.0,21.2,16.4,18.5,29.7,65.2,30.1,8.5,39.5,6.9,17,21.3,2021-10-05,04:01:00,26.73,False
23.98,40.3,38.7,33.7,42.6,9.9,10.0,21.4,29.8,13.1,36.2,6.9,30,22.4,2021-10-05,06:01:00,25.64142857142857,True
22.1,26.8,35.2,29.4,53.7,19.7,16.6,17.5,19.3,10.1,28.0,6.9,35,21.6,2021-10-05,07:01:00,24.42142857142857,False
26.95,32.7,52.3,27.8,27.5,10.8,19.3,29.2,31.3,24.3,36.6,6.9,32,25.9,2021-10-05,08:01:00,27.396428571428572,True
22.05,31.1,25.3,26.7,36.2,19.1,26.8,18.0,21.5,31.0,31.2,6.9,29,8.7,2021-10-05,09:01:00,23.824999999999996,False
7.593,4.9,6.4,3.1,5.0,8.0,9.1,7.9,11.5,10.3,7.2,9.4,3,5.7,2021-10-05,10:01:00,7.0780714285714295,False
11.55,16.9,5.8,12.7,18.6,2.0,6.1,9.3,18.5,13.8,6.4,16.1,15,12.3,2021-10-05,11:01:00,11.789285714285715,False
9.058,8.3,3.3,8.8,18.0,1.8,10.0,5.9,13.4,9.9,4.7,12.8,8,17.0,2021-10-05,12:01:00,9.35414285714286,False
6.385,5.9,2.7,3.7,22.6,5.8,9.2,5.2,1.6,5.6,2.3,5.2,4,17.0,2021-10-05,14:01:00,6.9417857142857144,False
5.158,8.2,2.5,4.5,12.9,1.7,3.0,1.6,1.9,3.7,2.6,11.0,5,17.0,2021-10-05,15:01:00,5.768428571428572,False
